City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,72.63,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
4,Banjar,ID,76.91,light rain,-8.19,114.9675,The Hamsa Resort
5,Victoria,HK,71.26,few clouds,22.2855,114.1577,Mini Hotel Central
6,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
8,Rikitea,PF,76.41,clear sky,-23.1203,-134.9692,People ThankYou
10,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
14,Hobart,AU,73.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
17,Daru,PG,86.02,overcast clouds,-9.0763,143.2092,Daru Lodge
19,Busselton,AU,70.05,broken clouds,-33.65,115.3333,Observatory Guest House
20,Butaritari,KI,82.47,broken clouds,3.0707,172.7902,Isles Sunset Lodge
23,Goure,NE,73.02,scattered clouds,13.9835,10.2704,
27,Port Blair,IN,78.82,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
32,Belmonte,BR,77.5,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
33,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
34,Carmen,MX,75.76,clear sky,18.6333,-91.8333,Hotel Lossandes
36,Flinders,AU,79.88,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
38,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
40,Dingle,PH,84.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Itarema,BR,78.33,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
48,New Norfolk,AU,78.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
53,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
56,Mahebourg,MU,84.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
