City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-11-30 05:19:25,38.5167,-28.7,61.52,67,13,12.68
1,Yellowknife,CA,2021-11-30 05:19:26,62.456,-114.3525,-18.58,78,1,1.99
2,Biloela,AU,2021-11-30 05:19:26,-24.4167,150.5,81.27,69,98,13.44
3,Rikitea,PF,2021-11-30 05:19:26,-23.1203,-134.9692,76.57,79,6,20.2
4,Dikson,RU,2021-11-30 05:19:26,73.5069,80.5464,-12.62,96,100,12.33
5,Gat,IL,2021-11-30 05:19:27,31.61,34.7642,73.4,27,33,6.42
6,Boguchar,RU,2021-11-30 05:19:27,49.9358,40.545,49.84,83,100,16.73
7,Ambilobe,MG,2021-11-30 05:19:27,-13.2,49.05,82.6,58,7,7.18
8,Albany,US,2021-11-30 05:15:09,42.6001,-73.9662,24.67,82,11,4.29
9,Ilulissat,GL,2021-11-30 05:19:28,69.2167,-51.1,26.82,85,100,7.49
10,Atar,MR,2021-11-30 05:19:28,20.5169,-13.0499,61.92,28,72,9.42
11,Ushuaia,AR,2021-11-30 05:19:28,-54.8,-68.3,42.46,75,75,9.22
12,Hobart,AU,2021-11-30 05:19:28,-42.8794,147.3294,84.02,43,20,1.99
13,Serang,ID,2021-11-30 05:19:29,-6.1149,106.1502,87.57,86,100,4.09
14,Praia,CV,2021-11-30 05:19:29,14.9215,-23.5087,72.14,68,75,20.71
15,Amapa,BR,2021-11-30 05:19:29,1.0,-52.0,71.24,100,100,1.74
16,Svetlogorsk,BY,2021-11-30 05:19:29,52.6333,29.7333,31.05,92,98,22.95
17,Savonlinna,FI,2021-11-30 05:19:30,61.8699,28.88,17.65,86,90,9.22
18,Bluff,NZ,2021-11-30 05:19:30,-46.6,168.3333,59.81,78,82,14.12
19,Vaini,TO,2021-11-30 05:19:30,-21.2,-175.2,80.76,94,40,10.36
20,Tuktoyaktuk,CA,2021-11-30 05:19:30,69.4541,-133.0374,-18.4,76,1,14.97
21,Santa Ines,BR,2021-11-30 05:19:31,-3.6667,-45.38,74.25,96,44,2.04
22,Hami,CN,2021-11-30 05:19:31,42.8,93.45,29.98,48,15,3.74
23,Klaksvik,FO,2021-11-30 05:19:31,62.2266,-6.589,32.92,83,100,7.85
24,Westport,US,2021-11-30 05:19:31,41.1415,-73.3579,34.32,71,1,4.0
25,Severo-Kurilsk,RU,2021-11-30 05:19:32,50.6789,156.125,31.21,61,96,25.03
26,Tabuk,PH,2021-11-30 05:19:32,17.4189,121.4443,81.34,78,80,12.82
27,Alofi,NU,2021-11-30 05:19:32,-19.0595,-169.9187,78.69,69,21,11.5
28,Adrar,MR,2021-11-30 05:19:32,20.5022,-10.0711,58.48,32,81,11.59
29,Pingliang,CN,2021-11-30 05:19:33,35.5392,106.6861,39.83,27,0,5.7
30,Cape Town,ZA,2021-11-30 05:18:26,-33.9258,18.4232,61.88,90,75,10.36
31,Mogadishu,SO,2021-11-30 05:19:33,2.0371,45.3438,80.64,66,12,15.43
32,Kapaa,US,2021-11-30 05:19:33,22.0752,-159.319,76.98,79,40,3.0
33,Fort Nelson,CA,2021-11-30 05:15:23,58.8053,-122.7002,-0.81,85,90,9.22
34,Vila Velha,BR,2021-11-30 05:19:34,-20.3297,-40.2925,78.94,86,40,13.0
35,Kilakarai,IN,2021-11-30 05:19:34,9.2333,78.7833,82.89,71,77,13.18
36,San Rafael,AR,2021-11-30 05:19:34,-34.6177,-68.3301,69.35,29,12,7.94
37,Torbay,CA,2021-11-30 05:19:35,47.6666,-52.7314,51.28,96,90,27.63
38,Hasaki,JP,2021-11-30 05:19:35,35.7333,140.8333,64.29,57,96,23.35
39,Jamestown,US,2021-11-30 05:16:08,42.097,-79.2353,33.39,86,90,6.91
40,Port Elizabeth,ZA,2021-11-30 05:19:35,-33.918,25.5701,68.29,64,0,9.22
41,Bengkulu,ID,2021-11-30 05:19:35,-3.8004,102.2655,79.86,76,100,11.99
42,Touros,BR,2021-11-30 05:19:36,-5.1989,-35.4608,79.7,77,56,11.12
43,San Patricio,US,2021-11-30 05:19:36,28.017,-97.5169,60.82,78,84,6.35
44,Tshane,BW,2021-11-30 05:19:36,-24.0196,21.8684,74.5,47,0,3.74
45,Yerbogachen,RU,2021-11-30 05:19:36,61.2767,108.0108,-8.39,92,86,5.64
46,Ola,RU,2021-11-30 05:20:37,59.5833,151.2833,0.14,93,100,6.6
47,Tautira,PF,2021-11-30 05:20:37,-17.7333,-149.15,80.62,72,96,19.15
48,Ekhabi,RU,2021-11-30 05:20:37,53.5102,142.9671,15.85,66,100,7.78
49,Bathsheba,BB,2021-11-30 05:20:37,13.2167,-59.5167,81.21,78,20,16.11
50,San Quintin,MX,2021-11-30 05:20:38,30.4833,-115.95,60.67,83,0,5.53
51,Razgrad,BG,2021-11-30 05:20:38,43.5333,26.5167,42.82,89,100,6.4
52,Bethel,US,2021-11-30 05:20:38,41.3712,-73.414,31.23,77,1,0.0
53,Clyde River,CA,2021-11-30 05:20:38,70.4692,-68.5914,1.63,78,100,11.5
